Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
12/18/2021,1,2021 Contenders Tom Brady Winning Ticket #WTTBR PSA 8,Tom Brady,2021,Contenders,Winning Ticket,WTTBR,Football,PSA 8,400,321.52,-78.48,,66082410,2,
01/18/2021,1,2021 CSG  Panini Prestige Xtra Points Sunburst # Patrick Mahomes II CSG 10,Panini Prestige,2021,CSG,Xtra Points Sunburst, Patrick Mahomes II,Football,CSG 10,250,1262.26,1012.26,,1027959002,1,
10/14/2017,1,2010 Topps Chrome Tom Brady Refractor #C80 CSG 9,Tom Brady,2010,Topps Chrome,Refractor,C80,Football,CSG 9,223,2241.76,2018.76,,1002558004,1,
07/20/2020,1,2020 Panini Mosaic Tom Brady Pink Camo #135 CSG 10,Tom Brady,2020,Panini Mosaic,Pink Camo,135,Football,CSG 10,1000,4370.16,3370.16,,1004114007,1,
11/16/2022,1,2022 Parkside NWSL Ifeoma Omumonu Signature Series Autographs #SS-IO PSA 6/Auto 10,Ifeoma Omumonu,2022,Parkside NWSL,Signature Series Autographs,SS-IO,Soccer,PSA 6/Auto 10,400,4298.27,3898.27,,72388607,1,
06/18/2020,1,2018 Panini Hoops Kobe Bryant Silver Prizm 042/199 #296 CSG 10,Kobe Bryant,2018,Panini Hoops,Silver Prizm 042/199,296,Basketball,CSG 10,1000,3351.63,2351.63,,1004115003,1,
09/18/2021,1,2021 Panini Prizm Draft Picks Trevor Lawrence Green Prizm #161  CSG 9.5,Trevor Lawrence,2021,Panini Prizm Draft Picks,Green Prizm,161 ,Football,CSG 9.5,224,29.12,-194.88,,1027959026,,
10/18/2021,1,2021 Panini Prizm Draft Picks  Trevor Lawrence Green Prizm # 106  CSG 9.5,Trevor Lawrence,2021,Panini Prizm Draft Picks ,Green Prizm, 106 ,Football,CSG 9.5,25,465.76,440.76,,1027959006,3,
02/18/2020,1,2019 Panini Hoops Premium Stock Luka Doncic NBA City Red Prizm #30 CSG 10,Luka Doncic,2019,Panini Hoops Premium Stock,NBA City Red Prizm,30,Basketball,CSG 10,345,2425.44,2080.44,,1005614003,1,
12/18/2020,1,2019 Topps Match Attax Champions UEFA Champions League Cristiano Ronaldo Golden Squad Limited Edition #LE12 CSG 9,Cristiano Ronaldo,2019,Topps Match Attax Champions UEFA Champions League,Golden Squad Limited Edition,LE12,Soccer,CSG 9,1000,3178.19,2178.19,,1005610003,1,
07/11/2020,1,2018 Panini Dmd.Kings Walker Buehler Dk Rookie Materials Sig. PSA 9,Walker Buehler,2018,Panini Dmd.Kings,Dk Rookie Materials Sig.,,Baseball,PSA 9,350,64.15,-285.85,,63357147,1,
01/22/2020,1,2019 Panini Chronicles Jared Goff Prime Swatches  #PS9 Raw,Jared Goff,2019,Panini Chronicles,Prime Swatches ,PS9,Football,Raw,1000,3554.21,2554.21,,,,#33/49
02/19/2022,1,2021  Panini Prizm Aaron Judge Stained Glass Purple Prizm #SG-5  CSG 9.5,Aaron Judge,2021 ,Panini Prizm,Stained Glass Purple Prizm,SG-5 ,Baseball,CSG 9.5,250,1607.95,1357.95,,1027959034,2,
05/18/2020,1,2019 Toops Match Attax UEFA Champions League  Cristiano Ronaldo World  Class Superstar #WCU8 Raw,Cristiano Ronaldo,2019,Toops Match Attax UEFA Champions League ,World  Class Superstar,WCU8,Soccer,Raw,21,3947.44,3926.44,,,,
11/13/2021,1,2021 Panini NBA Sticker & Card Collection  Chris Duarte European Edition Silver Card #93 Raw,Chris Duarte,2021,Panini NBA Sticker & Card Collection ,European Edition Silver Card,93,Basketball,Raw,22,2008.06,1986.06,,,,
12/18/2020,1,2019 Topps Match Attax UEFA Champions League Lionel Messi #BAR 11 Raw,Lionel Messi,2019,Topps Match Attax UEFA Champions League,,BAR 11,Soccer,Raw,300,894.79,594.79,,,,
05/18/2018,1,2016 Topps Match Attax UEFA Champions League Pepe 2015/16 Winners #RM5 Raw,Pepe,2016,Topps Match Attax UEFA Champions League,2015/16 Winners,RM5,Soccer,Raw,86,806.53,720.53,,,,
01/19/2022,1,2021 Onyx Vintage Clyde Drexler Parallel Autograph Blue-Ink #VACD PSA 9/Auto 10,Clyde Drexler,2021,Onyx Vintage,Parallel Autograph Blue-Ink,VACD,Basketball,PSA 9/Auto 10,1500,1273.86,-226.14,,66081791,1,
10/15/2021,1,2020 Panini Playbook Nick Chubb Base #28 Raw,Nick Chubb,2020,Panini Playbook,Base,28,Football,Raw,10,103.38,93.38,,,,
05/25/2021,1,2020 Panini Mosaic Prizm Tom Brady Reactive Green Prizm #298 CSG 9,Tom Brady,2020,Panini Mosaic Prizm,Reactive Green Prizm,298,Football,CSG 9,564,734.63,170.63,,1004115004,,
05/15/2021,1,2020 Upper Deck Series 2 Vitali Kravstov Dazzlers Green  #DZ-82 CSG 10,Vitali Kravstov,2020,Upper Deck Series 2,Dazzlers Green ,DZ-82,Hockey,CSG 10,275,145.51,-129.49,,1027959018,1,
10/19/2021,1,2021 Donruss Retro 87’ Gavin Lux Retro 87’ Signatures #87S-GL SGC 9/Auto 10,Gavin Lux,2021,Donruss Retro 87’,Retro 87’ Signatures,87S-GL,Baseball,SGC 9/Auto 10,200,1837.61,1637.61,,1005606001,1,
10/10/2011,1,2005 SP Authentic Tom Brady #50 CSG 8.5,Tom Brady,2005,SP Authentic,,50,Football,CSG 8.5,200,5646.83,5446.83,,1004114002,,
04/12/2019,1,2005 Upper Deck Super Bowl Champions Set Tom Brady Season Highlights #SH1 CSG 8.5,Tom Brady,2005,Upper Deck Super Bowl Champions Set,Season Highlights,SH1,Football,CSG 8.5,125,2616.56,2491.56,,1004114003,1,
03/08/2019,1,2005 Donruss Optic  Tom Brady #63 CSG 10,Tom Brady,2005,Donruss Optic ,,63,Football,CSG 10,1000,7159.26,6159.26,,1005610001,1,
08/09/2018,1,2016 Leaf Tom Brady Exclusive Legends Edition #10 CSG 9,Tom Brady,2016,Leaf,Exclusive Legends Edition,10,Football,CSG 9,253,3658.17,3405.17,,1004115002,,
01/17/2018,1,2017 Topps Archives Aaron Judge 1960 Rookie Star #RS-9 CSG 10,Aaron Judge,2017,Topps Archives,1960 Rookie Star,RS-9,Baseball,CSG 10,600,12104.49,11504.49,,1002559002,,
11/19/2021,1,2021 Topps Dylan Carlson '52 Redux #T52-33 Dylan Carlson CSG 9.5,Dylan Carlson,2021,Topps,'52 Redux,T52-33 Dylan Carlson,Baseball,CSG 9.5,240,541.01,301.01,,1027959021,,
12/19/2021,1,2021 Topps Heritage Mike Trout #169 Raw,Mike Trout,2021,Topps Heritage,,169,Baseball,Raw,19,181.85,162.85,,,,
05/19/1996,1,1963 Topps Ernie Banks - Hank Aaron Power Plus #242 Raw,Ernie Banks - Hank Aaron,1963,Topps,Power Plus,242,Baseball,Raw,2,22307.89,22305.89,,,,
10/05/2021,1,2021 Panini Prizm Draft Picks Justin Fields Red White & Blue Prizm #163  CSG 9,Justin Fields,2021,Panini Prizm Draft Picks,Red White & Blue Prizm,163 ,Football,CSG 9,365,3221.04,2856.04,,1026538009,,
01/25/2021,1,2020 Panini Certified  Luka Doncic Gold Team #7 CSG 10,Luka Doncic,2020,Panini Certified ,Gold Team,7,Basketball,CSG 10,350,163.69,-186.31,,1005614004,1,
10/11/2020,1,2020 Panini Contenders Tom Brady Jersey Number #12 CSG 7.5,Tom Brady,2020,Panini Contenders,Jersey Number,12,Football,CSG 7.5,225,823.09,598.09,,1004116006,,
10/14/2020,1,2020 Topps Chrome Update Yordan Alvarez Decade's Next  #DNC-4  CSG 10,Yordan Alvarez,2020,Topps Chrome Update,Decade's Next ,DNC-4 ,Baseball,CSG 10,250,297.92,47.92,,1027959007,,
10/08/2019,1,2019 Panini Illusions JA Morant #161 CSG 9,JA Morant,2019,Panini Illusions,,161,Basketball,CSG 9,120,1145.27,1025.27,,1002558003,,
12/20/2020,1,2020 Topps Chrome Update Sapphire Ken Griffey Jr. Base Sapphire #U-150  CSG 10,Ken Griffey Jr.,2020,Topps Chrome Update Sapphire,Base Sapphire,U-150 ,Baseball,CSG 10,125,310.02,185.02,,1027959027,,
09/20/2021,1,2021 Panini Prizm  Aristides Aquino Blue Mojo #208  CSG 10,Aristides Aquino,2021,Panini Prizm ,Blue Mojo,208 ,Baseball,CSG 10,20,455.73,435.73,,1027959013,1,
09/11/2021,1,2021 Topps Heritage Chrome Matt Chapman Red Refractor #123  CSG 10,Matt Chapman,2021,Topps Heritage Chrome,Red Refractor,123 ,Baseball,CSG 10,70,1180.90,1110.90,,1027959017,1,
11/20/2021,1,2021 Panini Diamond Kings Roger Maris Blue Frame #101  CSG 10,Roger Maris,2021,Panini Diamond Kings,Blue Frame,101 ,Baseball,CSG 10,120,930.05,810.05,,1027959009,,
08/11/2011,1,2009 Panini Rookies & Stars Kobe Bryant Base #39 CSG 10,Kobe Bryant,2009,Panini Rookies & Stars,Base,39,Basketball,CSG 10,200,6210.43,6010.43,,1005615003,1,
08/11/2011,1,2009 Panini Rookies & Stars LeBron James Base #14 CSG 9,LeBron James,2009,Panini Rookies & Stars,Base,14,Basketball,CSG 9,2000,74480.66,72480.66,,1005615002,1,
02/03/2015,1,2014 Panini Prizm Neymar Jr. World Cup #112 PSA 8,Neymar Jr.,2014,Panini Prizm,World Cup,112,Soccer,PSA 8,200,1344.61,1144.61,,51434895,569,
11/20/2021,1,2021 Donruss Optic Fernando Tatis Jr. Lime Green #27  CSG 10,Fernando Tatis Jr.,2021,Donruss Optic,Lime Green,27 ,Baseball,CSG 10,20,198.41,178.41,,1027959010,1,
11/20/2021,1,2021 Donruss Optic  Vladamir Guerrero Jr. Lime Green #182  CSG 10,Vladamir Guerrero Jr.,2021,Donruss Optic ,Lime Green,182 ,Baseball,CSG 10,200,450.84,250.84,,1027959029,,
11/20/2021,1,2021 Panini Diamond Kings Dylan Carlson Artist Proof Blue #64  CSG 10,Dylan Carlson,2021,Panini Diamond Kings,Artist Proof Blue,64 ,Baseball,CSG 10,200,131.58,-68.42,,1027959019,,
05/14/2019,1,2018-19 Donruss Optic Josh Okogie Holo Prizm #194  CSG 10,Josh Okogie,2018-19,Donruss Optic,Holo Prizm,194 ,Basketball,CSG 10,100,1246.86,1146.86,,1027959015,,
11/20/2021,1,2021 Topps Nolan Arenado 70 Years Of Topps #70YT-52 CSG 10,Nolan Arenado,2021,Topps,70 Years Of Topps,70YT-52,Baseball,CSG 10,20,122.48,102.48,,1027959008,,
12/20/2019,1,2019 Panini Hoops Premium Stock Zion Williamson Base  #258 CSG 9,Zion Williamson,2019,Panini Hoops Premium Stock,Base ,258,Basketball,CSG 9,200,22.36,-177.64,,1001681002,,
04/20/2020,1,2019 Panini Revolution Luka Doncic #73 CSG 9,Luka Doncic,2019,Panini Revolution,,73,Basketball,CSG 9,360,766.04,406.04,,1002558001,,
12/20/2022,1,2003-04 Upper Deck  LeBron James Lebron's Diary #LJ15  CSG 8,LeBron James,2003-04,Upper Deck ,Lebron's Diary,LJ15 ,Basketball,CSG 8,345,3935.80,3590.80,,1026239020,,
09/20/2020,1,2020 Panini Mosaic Rob Gronkowski Pink Camo Prizm #136 CSG 9,Rob Gronkowski,2020,Panini Mosaic,Pink Camo Prizm,136,Football,CSG 9,200,335.36,135.36,,1004114006,,
