Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
03/28/1995,1,1992  Fleer Michael Jordan Total D #5 Raw,Michael Jordan,1992 ,Fleer,Total D,5,Basketball,Raw,120,25861.15,25741.15,,,,
01/01/2023,1,2022 Panini Absolute Stan Musial #12 Raw,Stan Musial,2022,Panini Absolute,,12,Baseball,Raw,6,132.36,126.36,,,,
01/01/2023,1,2022 Panini Absolute Jimmie Foxx #4 Raw,Jimmie Foxx,2022,Panini Absolute,,4,Baseball,Raw,6,167.08,161.08,,,,
01/01/2023,1,2022 Panini Absolute Reid Detmers Rookie Class #RC-10 Raw,Reid Detmers,2022,Panini Absolute,Rookie Class,RC-10,Baseball,Raw,6,82.20,76.20,,,,
01/12/2020,1,2019-20 Panini Hoops Premium Stock  Draymond Green #62 Raw,Draymond Green,2019-20,Panini Hoops Premium Stock ,,62,Basketball,Raw,75,580.26,505.26,,,,
01/08/2020,1,2019-20 Panini Mosaic Chris Paul Base #143 Raw,Chris Paul,2019-20,Panini Mosaic,Base,143,Basketball,Raw,22,84.24,62.24,,,,
01/08/2020,1,2019-20 Panini Mosaic  Caris LeVert Base #51 Raw,Caris LeVert,2019-20,Panini Mosaic ,Base,51,Basketball,Raw,22,530.09,508.09,,,,
12/28/2019,1,2018-19 Donruss Optic Danny Green #111 Raw,Danny Green,2018-19,Donruss Optic,,111,Basketball,Raw,12,222.01,210.01,,,,
01/13/2020,1,2019-20 Panini Hoops Premium Stock Aaron Holiday #74 Raw,Aaron Holiday,2019-20,Panini Hoops Premium Stock,,74,Basketball,Raw,12,105.74,93.74,,,,
01/17/2020,1,2020 Donruss Jalen Hurts Rated Rookie #514 Raw,Jalen Hurts,2020,Donruss,Rated Rookie,514,Football,Raw,75,1533.89,1458.89,,,,
12/31/2020,1,2020 Panini Absolute Rob Gronkowski Retail #43 Raw,Rob Gronkowski,2020,Panini Absolute,Retail,43,Football,Raw,25,100.66,75.66,,,,
12/29/2020,1,2020 Panini Illusions  Troy Polamalu Living Legends  #LL10 Raw,Troy Polamalu,2020,Panini Illusions ,Living Legends ,LL10,Football,Raw,12,2799.01,2787.01,,,,
01/23/2003,1,1989 Donruss Ken Griffey Jr. Rated Rookie Error Card #33 Raw,Ken Griffey Jr.,1989,Donruss,Rated Rookie Error Card,33,Baseball,Raw,300,1809.62,1509.62,,,,"Red dot , Blue dot"
12/27/2017,1,2017 Topps Aaron Judge All Star Game 2017 Rookie Card #287 Raw,Aaron Judge,2017,Topps,All Star Game 2017 Rookie Card,287,Baseball,Raw,160,729.10,569.10,,,,
12/31/2019,1,2019-20 Panini Prizm  Karl Malone Green Prizm #19 PSA 10,Karl Malone,2019-20,Panini Prizm ,Green Prizm,19,Basketball,PSA 10,200,897.00,697.00,,75756172,1,
02/28/1986,1,1962 Topps Ernie Banks #25 Raw,Ernie Banks,1962,Topps,,25,Baseball,Raw,400.82,3382.94,2982.12,,,,Poor Condition
01/01/2023,1,2022 Topps Chrome Mike Trout 1987 Topps Baseball Orange Refractor #87BC-1 Raw,Mike Trout,2022,Topps Chrome,1987 Topps Baseball Orange Refractor,87BC-1,Baseball,Raw,400,211.23,-188.77,,,,
01/07/2023,1,2022 Panini Prestige Skyy Moore Rookie Card #372 Raw,Skyy Moore,2022,Panini Prestige,Rookie Card,372,Football,Raw,12,177.23,165.23,,,,
12/31/2021,1,2020-21 Panini Prizm  James Harden Multicolr Prizm #112 Raw,James Harden,2020-21,Panini Prizm ,Multicolr Prizm,112,Basketball,Raw,260,307.74,47.74,,,,
12/31/2022,1,2022 Panini Select Draft Picks Patrick Mahomes II Field Level Prizm  Red Lazer Prizm #124 Raw,Patrick Mahomes II,2022,Panini Select Draft Picks,Field Level Prizm  Red Lazer Prizm,124,Football,Raw,25,304.17,279.17,,,,
12/31/2022,1,2022 Panini Mosaic Prizm Scripts Holo Domingo Acevedo Prizm Script Autographs Holo #SC-DA Raw,Domingo Acevedo,2022,Panini Mosaic Prizm Scripts Holo,Prizm Script Autographs Holo,SC-DA,Baseball,Raw,75,1434.97,1359.97,,,,
11/09/2022,1,2022  Panini Prizm WNBA  Cynthia Cooper-Dyke 25th Anniversary Prizm Green #160 SGC 9.5,Cynthia Cooper-Dyke,2022 ,Panini Prizm WNBA ,25th Anniversary Prizm Green,160,Basketball,SGC 9.5,100,1390.35,1290.35,,BAC001888725,1,
03/04/1999,1,1989 Topps Ken Griffey Traded Bases #40T Raw,Ken Griffey,1989,Topps,Traded Bases,40T,Baseball,Raw,2,336.40,334.40,,,,
03/28/2011,1,2010 Donruss Rated Rookies Rob Gronkowski Rated Rookies #84 PSA 8,Rob Gronkowski,2010,Donruss Rated Rookies,Rated Rookies,84,Football,PSA 8,35,246.89,211.89,,65834811,59,
01/07/2018,1,2017 Topps Now Off-Season Shohei Ohtani Off-Season #OS-80 PSA 10,Shohei Ohtani,2017,Topps Now Off-Season,Off-Season,OS-80,Baseball,PSA 10,150,5043.85,4893.85,,65834809,1313,
01/07/2021,1,2020 Panini Chronicles James Wiseman #115 PSA 9,James Wiseman,2020,Panini Chronicles,,115,Basketball,PSA 9,35,226.80,191.80,,65437422,3,
01/07/2020,1,2019 Panini Hoops Premium Stock Kz Okpala Red Wave #226 PSA 9,Kz Okpala,2019,Panini Hoops Premium Stock,Red Wave,226,Basketball,PSA 9,35,1951.44,1916.44,,65437416,1,
02/02/2016,1,2015 Panini Contenders Draft Picks Game Day Tickets Marcus Mariota Game Day Tickets #31 PSA 9,Marcus Mariota,2015,Panini Contenders Draft Picks Game Day Tickets,Game Day Tickets,31,Football,PSA 9,35,306.07,271.07,,65437415,11,
12/30/2021,1,2021 Panini Donruss Rated Prospects Wander Franco Rated Prospects-Rapture #RP1 PSA 10,Wander Franco,2021,Panini Donruss Rated Prospects,Rated Prospects-Rapture,RP1,Baseball,PSA 10,35,18.68,-16.32,,65834804,45,
12/27/2020,1,2020 Panini Chronicles Stephen Curry #106 PSA 9,Stephen Curry,2020,Panini Chronicles,,106,Basketball,PSA 9,18,303.92,285.92,,65437409,5,
12/29/2021,1,2021 Panini Donruss Anthony Edwards Holo Green/Yellow Laser #175 PSA 9,Anthony Edwards,2021,Panini Donruss,Holo Green/Yellow Laser,175,Basketball,PSA 9,35,462.39,427.39,,65437419,2,
01/07/2021,1,2020 Panini Chronicles Stephen Curry #282 PSA 9,Stephen Curry,2020,Panini Chronicles,,282,Basketball,PSA 9,18,303.92,285.92,,65437408,7,
01/07/2021,1,2020 Panini Chronicles Luka Doncic #300 PSA 9,Luka Doncic,2020,Panini Chronicles,,300,Basketball,PSA 9,175,514.76,339.76,,65437425,6,
12/30/2021,1,2021 Panini Illusions Mac Jones Retail #64 PSA 10,Mac Jones,2021,Panini Illusions,Retail,64,Football,PSA 10,35,14.86,-20.14,,65437423,218,
01/07/2022,1,2021 Topps 1952 Topps Redux Dylan Carlson 1952 Topps Redux-Chrome #TC5233 PSA 10,Dylan Carlson,2021,Topps 1952 Topps Redux,1952 Topps Redux-Chrome,TC5233,Baseball,PSA 10,35,208.33,173.33,,65834802,55,
09/07/2000,1,1998 Upper Deck International Mj Stickers Michael Jordan Mj Stickers #101 PSA 4,Michael Jordan,1998,Upper Deck International Mj Stickers,Mj Stickers,101,Basketball,PSA 4,300,6391.08,6091.08,,65437413,1,
03/07/2000,1,1998 Upper Deck Jordan Michael Jordan Stick-Ums Michael Jordan Michael Jordan Stick-Ums #SU27 PSA 9,Michael Jordan,1998,Upper Deck Jordan Michael Jordan Stick-Ums,Michael Jordan Stick-Ums,SU27,Basketball,PSA 9,300,38708.55,38408.55,,65834803,1,
04/27/2000,1,1998 Upper Deck International Mj Stickers Michael Jordan Mj Stickers #59 PSA 8,Michael Jordan,1998,Upper Deck International Mj Stickers,Mj Stickers,59,Basketball,PSA 8,150,2568.48,2418.48,,65834807,10,
12/30/2020,1,2020 Topps Chrome Update Sapphire Edition Adam Plutko Sapphire Edition-Green #294 PSA 10,Adam Plutko,2020,Topps Chrome Update Sapphire Edition,Sapphire Edition-Green,294,Baseball,PSA 10,35,1181.18,1146.18,,65437430,1,14/45
10/11/2023,1,1998 Upper Deck International Mj Stickers Michael Jordan Mj Stickers #102 PSA 5,Michael Jordan,1998,Upper Deck International Mj Stickers,Mj Stickers,102,Basketball,PSA 5,3896.42,9092.57,5196.15,,65437414,2,
03/29/2003,1,1998 Upper Deck International Mj Stickers Michael Jordan Mj Stickers #13 PSA 7,Michael Jordan,1998,Upper Deck International Mj Stickers,Mj Stickers,13,Basketball,PSA 7,350,7412.49,7062.49,,65834808,4,
07/23/2006,1,1998 Upper Deck International Mj Stickers Michael Jordan Mj Stickers #23 PSA 5,Michael Jordan,1998,Upper Deck International Mj Stickers,Mj Stickers,23,Basketball,PSA 5,300,10633.94,10333.94,,65437412,2,
01/07/2022,1,2021 Panini Illusions Trevor Lawrence Retail #59 PSA 9,Trevor Lawrence,2021,Panini Illusions,Retail,59,Football,PSA 9,65,212.51,147.51,,65437424,140,
01/01/2022,1,2021 Panini Illusions Ja'marr Chase Retail #65 PSA 10,Ja'marr Chase,2021,Panini Illusions,Retail,65,Football,PSA 10,35,172.00,137.00,,65437428,95,
12/07/2021,1,2021 Topps Project70 Mickey Mantle Rainbow Foil #321 PSA 8,Mickey Mantle,2021,Topps Project70,Rainbow Foil,321,Baseball,PSA 8,3500,4060.47,560.47,,65834810,1,#55/75
01/04/2022,1,2021 Topps Fire Spencer Howard Green #35 PSA 9,Spencer Howard,2021,Topps Fire,Green,35,Baseball,PSA 9,35,1212.57,1177.57,,65437429,1,#42/199
12/31/2021,1,2021 Panini Illusions Clear Shots Tom Brady Clear Shots #CS-3 PSA 9,Tom Brady,2021,Panini Illusions Clear Shots,Clear Shots,CS-3,Football,PSA 9,165,338.44,173.44,,65437421,3,
01/07/2021,1,2020 Panini Chronicles Anthony Edwards #101 PSA 9,Anthony Edwards,2020,Panini Chronicles,,101,Basketball,PSA 9,18,95.12,77.12,,65437420,28,
01/07/2020,1,2019 Panini Chronicles Zion Williamson X #271 PSA 9,Zion Williamson,2019,Panini Chronicles,X,271,Basketball,PSA 9,15,7.38,-7.62,,65437418,1710,
01/07/2020,1,2019 Panini Chronicles Stephen Curry #51 PSA 9,Stephen Curry,2019,Panini Chronicles,,51,Basketball,PSA 9,18,124.81,106.81,,65437411,52,
12/31/2021,1,2021 Topps 70 Years Of Topps Baseball Rickey Henderson 70 Yrs/Topps Bb-Chrome #20 PSA 10,Rickey Henderson,2021,Topps 70 Years Of Topps Baseball,70 Yrs/Topps Bb-Chrome,20,Baseball,PSA 10,600,880.06,280.06,,65437417,1,
02/01/2022,1,2021 Panini Donruss Elite Series Rookie Mac Jones Elite Series Rookie #ESRMJO PSA 9,Mac Jones,2021,Panini Donruss Elite Series Rookie,Elite Series Rookie,ESRMJO,Football,PSA 9,15,4.74,-10.26,,65834805,128,
01/07/2021,1,2020 Panini Donruss Optic Payton Pritchard Hyper Pink #176 PSA 9,Payton Pritchard,2020,Panini Donruss Optic,Hyper Pink,176,Basketball,PSA 9,15,34.80,19.80,,65834801,5,
12/24/2020,1,2020 Panini Donruss Optic T-Minus 3...2...1 G.Antetokounmpo T-Minus 3...2...1-Holo #15 PSA 10,G.Antetokounmpo,2020,Panini Donruss Optic T-Minus 3...2...1,T-Minus 3...2...1-Holo,15,Basketball,PSA 10,345,139.32,-205.68,,65437427,6,
01/07/2019,1,2018 Panini Contenders Draft Picks Game Day Ticket Trae Young Game Day Ticket #6 PSA 10,Trae Young,2018,Panini Contenders Draft Picks Game Day Ticket,Game Day Ticket,6,Basketball,PSA 10,110,630.27,520.27,,65437426,62,
01/07/2022,1,2021 Panini Donruss Stephen Curry #68 PSA 10,Stephen Curry,2021,Panini Donruss,,68,Basketball,PSA 10,18,173.45,155.45,,65437410,5,
12/30/2020,1,2020 Panini Illusions Tom Brady Retail #1 Raw,Tom Brady,2020,Panini Illusions,Retail,1,Football,Raw,300,1016.18,716.18,,,,
02/03/2023,1,2021-22 Panini Donruss Optic LeBron James Target Box Set Silver Pulsar #41 PSA 9,LeBron James,2021-22,Panini Donruss Optic,Target Box Set Silver Pulsar,41,Basketball,PSA 9,200,1360.13,1160.13,,75756133,1,
01/20/2023,1,2022 Topps Complete Set Wander Franco Rookie Chrome Variations #215 PSA 10,Wander Franco,2022,Topps Complete Set,Rookie Chrome Variations,215,Baseball,PSA 10,500,1456.90,956.90,,75756129,1,None graded higher
12/20/2022,1,2021-22 Donruss Optic DeMar DeRozen White Photon  Prizm #28 PSA 10,DeMar DeRozen,2021-22,Donruss Optic,White Photon  Prizm,28,Basketball,PSA 10,350,1511.60,1161.60,,75756128,1,
12/19/2021,1,2021-22 Panini NBA Sticker & Card Collection  Keldon Johnson European Cracked Ice  Edition #470 Raw,Keldon Johnson,2021-22,Panini NBA Sticker & Card Collection ,European Cracked Ice  Edition,470,Basketball,Raw,12,164.71,152.71,,,,
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Kristaps Porzingis European Edition Cracked Ice Sticker #303 Raw,Kristaps Porzingis,2021-22,Panini NBA Sticker & Card Collection,European Edition Cracked Ice Sticker,303,Basketball,Raw,22,23.30,1.30,,,,
12/20/2021,1,2021-22  Panini NBA Sticker & Card Collection Caris LeVert European Edition Cracked Ice Sticker #197 Raw,Caris LeVert,2021-22 ,Panini NBA Sticker & Card Collection,European Edition Cracked Ice Sticker,197,Basketball,Raw,22,176.71,154.71,,,,
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Donovan Mitchell European Edition Cracked  Ice Sticker #485 Raw,Donovan Mitchell,2021-22,Panini NBA Sticker & Card Collection,European Edition Cracked  Ice Sticker,485,Basketball,Raw,22,206.43,184.43,,,,
12/20/2021,1,2021-22  Panini NBA Sticker & Card Collection  Tobias Harris European Cracked Ice Edition #262 Raw,Tobias Harris,2021-22 ,Panini NBA Sticker & Card Collection ,European Cracked Ice Edition,262,Basketball,Raw,20,118.72,98.72,,,,
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Khris Middleton European Edition #223 Raw,Khris Middleton,2021-22,Panini NBA Sticker & Card Collection,European Edition,223,Basketball,Raw,10,91.82,81.82,,,,
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Saddiq Bey European Edition Cracked Ice Sticker #186 Raw,Saddiq Bey,2021-22,Panini NBA Sticker & Card Collection,European Edition Cracked Ice Sticker,186,Basketball,Raw,22,150.33,128.33,,,,
