Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
12/29/2018,1,2018 Topps Chrome Rookie Autographs Felix Jorge Rookie Autograph Blue Wave Refractor  #RA-FJ PSA 10/Auto 10,Felix Jorge,2018,Topps Chrome Rookie Autographs,Rookie Autograph Blue Wave Refractor ,RA-FJ,Baseball,PSA 10/Auto 10,150,6405.06,6255.06,,BAC001888722,1,
04/10/2018,1,2017 Panini Donruss Optic  Solomon Thomas Rookie Autographs Bronze #116 PSA 10/Auto 10,Solomon Thomas,2017,Panini Donruss Optic ,Rookie Autographs Bronze,116,Football,PSA 10/Auto 10,321,815.07,494.07,,BAC001888724,,
12/30/2022,1,2021-22 Skybox Metal Universe Cale Makar #45 Raw,Cale Makar,2021-22,Skybox Metal Universe,,45,Hockey,Raw,30,254.60,224.60,,,,
12/23/2018,1,2018 Topps Now Ronald Acuña Jr. Error Card. Misspelled  name #125 Raw,Ronald Acuña Jr.,2018,Topps Now,Error Card. Misspelled  name,125,Baseball,Raw,18,965.91,947.91,,,,"Error Card . Mispelled name . 
Name should be : Ronald Acuña Jr. "
04/14/2023,1,2022 Bowman Inception Autographs Harry Ford  Primordial Prospect #PPA-HF SGC 10/Auto 10,Harry Ford,2022,Bowman Inception Autographs,Primordial Prospect,PPA-HF,Baseball,SGC 10/Auto 10,2056.72,14569.00,12512.28,,1100882,1,11/75
02/08/2023,1,2022 Bowman Inception William Bergolla Orange #15 SGC 10,William Bergolla,2022,Bowman Inception,Orange,15,Baseball,SGC 10,100,1456.90,1356.90,,0847071,1,#3/25
02/08/2023,1,2022-23 Panini Prizm Draft Picks  Trey Mcgowens Penmanship Blue Ice Prizm #CP-TMC SGC 8.5,Trey Mcgowens,2022-23,Panini Prizm Draft Picks ,Penmanship Blue Ice Prizm,CP-TMC,Basketball,SGC 8.5,356,760.51,404.51,,7075588,1,41/75
12/28/2022,1,2022-23 Panini Prizm Draft Picks  Anthony Black Freshman Signatures #FS-ABL SGC 9/Auto 10,Anthony Black,2022-23,Panini Prizm Draft Picks ,Freshman Signatures,FS-ABL,Basketball,SGC 9/Auto 10,245,1521.02,1276.02,,6387224,1,
12/30/2022,1,2022-23 Panini Prizm Draft Picks Trent Frazier Orange Pulsar Prizm #DP-TFR SGC 9/Auto 10,Trent Frazier,2022-23,Panini Prizm Draft Picks,Orange Pulsar Prizm,DP-TFR,Basketball,SGC 9/Auto 10,453,760.51,307.51,,0251782,1,20/49
02/08/2023,1,2022 Bowman Inception Bryan Acuna Inception Silver Signings 48/100 #ISS-BA SGC 10/Auto 10,Bryan Acuna,2022,Bowman Inception,Inception Silver Signings 48/100,ISS-BA,Baseball,SGC 10/Auto 10,300,14569.00,14269.00,,6016371,1,48/100
12/30/2020,1,2020 Panini Illusions Tom Brady Retail #1 PSA 10,Tom Brady,2020,Panini Illusions,Retail,1,Football,PSA 10,3500,113362.86,109862.86,,75756132,1,None graded higher.
12/31/2021,1,2022 Prizm Draft Picks Ja Morant Blue Ice Prizm #19 PSA 9,Ja Morant,2022,Prizm Draft Picks,Blue Ice Prizm,19,Basketball,PSA 9,437,1521.02,1084.02,,75756175,1,01/99
01/08/2023,1,2022 Bowman Julio Rodriguez Chrome Prospects #BCP45 PSA 10,Julio Rodriguez,2022,Bowman,Chrome Prospects,BCP45,Baseball,PSA 10,100,741.60,641.60,,75756174,1,
01/11/2022,1,2021 Mosaic Lebron James J/M-Orange Fluorescent #1 PSA 10,Lebron James,2021,Mosaic,J/M-Orange Fluorescent,1,Basketball,PSA 10,100,2421.87,2321.87,,75756127,1,22/25. None graded higher . 
12/25/2020,1,2020 Panini Flux Stephen Curry Blue Pulsar #55 PSA 10,Stephen Curry,2020,Panini Flux,Blue Pulsar,55,Basketball,PSA 10,197,598.72,401.72,,75756130,2,
12/08/2022,1,2022 Select Draft Picks Kenny Picket Blue Rookie #23 PSA 9,Kenny Picket,2022,Select Draft Picks,Blue Rookie,23,Football,PSA 9,345,755.80,410.80,,75756131,,
12/08/2022,1,2021 Panini Instant Tom Brady Super Bowl Lv Champions #1 PSA 10,Tom Brady,2021,Panini Instant,Super Bowl Lv Champions,1,Football,PSA 10,100,1595.93,1495.93,,75756177,3,None graded higher 
05/01/2023,1,2022-23 Panini NBA Prizm Monopoly Shai Gilgeous-Alexander Black Icons Prizm #62 Raw,Shai Gilgeous-Alexander,2022-23,Panini NBA Prizm Monopoly,Black Icons Prizm,62,Basketball,Raw,35,1084.65,1049.65,,,,
12/24/2021,1,2021-22 Panini NBA Sticker & Card Collection  Kenyon Martin Jr.  European Edition #348 Raw,Kenyon Martin Jr.,2021-22,Panini NBA Sticker & Card Collection ,European Edition,348,Basketball,Raw,100,987.59,887.59,,,,
12/24/2021,1,2021-22 Panini NBA Sticker & Card Collection  Luguentz Dort European Edition #422 Raw,Luguentz Dort,2021-22,Panini NBA Sticker & Card Collection ,European Edition,422,Basketball,Raw,100,550.44,450.44,,,,
12/24/2021,1,2021-22 Panini NBA Sticker & Card Collection Desmond Bane European Edition #386 Raw,Desmond Bane,2021-22,Panini NBA Sticker & Card Collection,European Edition,386,Basketball,Raw,100,61.41,-38.59,,,,
12/24/2021,1,2021-22 Panini NBA Sticker & Card Collection Devin Booker European Edition #438 Raw,Devin Booker,2021-22,Panini NBA Sticker & Card Collection,European Edition,438,Basketball,Raw,100,212.12,112.12,,,,
12/24/2021,1,2021-22 Panini NBA Sticker & Card Collection  Jaylen Brown European Edition #38 Raw,Jaylen Brown,2021-22,Panini NBA Sticker & Card Collection ,European Edition,38,Basketball,Raw,100,89.02,-10.98,,,,
01/27/2014,1,2012 Panini Absolute Spectrum Tom Brady Spectrum Silver #34 PSA 10,Tom Brady,2012,Panini Absolute Spectrum,Spectrum Silver,34,Football,PSA 10,500,24381.47,23881.47,,1004116004,1,
06/30/2022,1,2022  Leaf HOF Cut Signature Edition Chris Bosh HOF CUT SIGNATURE EDITION #NN PSA 9/Auto 9,Chris Bosh,2022 ,Leaf HOF Cut Signature Edition,HOF CUT SIGNATURE EDITION,NN,Basketball,PSA 9/Auto 9,100,9653.37,9553.37,,75755058,1,
06/30/2022,1,2022 Leaf Hof Cut Signature Ed Claude Humphrey Authentic #NN PSA 10/Auto 10,Claude Humphrey,2022,Leaf Hof Cut Signature Ed,Authentic,NN,Football,PSA 10/Auto 10,100,15820.96,15720.96,,75755059,1,
12/05/2017,1,2017 Panini Revolution Lionel Messi Sunburst #184 Raw,Lionel Messi,2017,Panini Revolution,Sunburst,184,Soccer,Raw,200,5793.41,5593.41,,,,
05/08/2017,1,2017 Panini Revolution Soccer Lucas Moura Vortex  #V-13 Raw,Lucas Moura,2017,Panini Revolution Soccer,Vortex ,V-13,Soccer,Raw,100,562.87,462.87,,,,
05/08/2017,1,2017 Panini Revolution Radja Nainggolan Sunburst #99 Raw,Radja Nainggolan,2017,Panini Revolution,Sunburst,99,Soccer,Raw,100,562.87,462.87,,,,
05/08/2017,1,2017 Panini Revolution  Yannick Carrasco Vortex #V-4 Raw,Yannick Carrasco,2017,Panini Revolution ,Vortex,V-4,Soccer,Raw,50,281.44,231.44,,,,
05/08/2017,1,2017 Panini Revolution Hakim Ziyech Sunburst #146 Raw,Hakim Ziyech,2017,Panini Revolution,Sunburst,146,Soccer,Raw,50,281.44,231.44,,,,
05/08/2017,1,2017 Panini Revolution Tomas Vaclik Sunburst #62 Raw,Tomas Vaclik,2017,Panini Revolution,Sunburst,62,Soccer,Raw,50,281.44,231.44,,,,
01/14/2023,1,2022 Panini Prizm Draft Picks Autographs Kennedy Chandler Blue Cracked Ice Prizm #DP-KEN Raw,Kennedy Chandler,2022,Panini Prizm Draft Picks Autographs,Blue Cracked Ice Prizm,DP-KEN,Basketball,Raw,100,157.42,57.42,,,,33/75
12/23/2022,1,2022 Donruss Optic Rated Rookie Signatures Riley Adams  Green Stars Prizm  #RRS-RA Raw,Riley Adams,2022,Donruss Optic Rated Rookie Signatures,Green Stars Prizm ,RRS-RA,Baseball,Raw,400.12,574.16,174.04,,,,49/49
12/25/2022,1,2022 Panini Prizm Draft Picks Autographs  Brock Jones Silver Prizm Autographs  #PDP65 Raw,Brock Jones,2022,Panini Prizm Draft Picks Autographs ,Silver Prizm Autographs ,PDP65,Baseball,Raw,489.85,673.26,183.41,,,,
01/14/2017,1,2016 Panini Prizm Collegiate Draft Picks Autographs S’UA CRAVENS Autographs Purple Flash Prizm  #176 Raw,S’UA CRAVENS,2016,Panini Prizm Collegiate Draft Picks Autographs,Autographs Purple Flash Prizm ,176,Football,Raw,100,864.97,764.97,,,,83/99
12/25/2021,1,2021 Panini Certified Freshman Fabic Mirror Signatures Ihmir Smith-Marsette Signature Jersey- Mirror Gold Etch  #242 Raw,Ihmir Smith-Marsette,2021,Panini Certified Freshman Fabic Mirror Signatures,Signature Jersey- Mirror Gold Etch ,242,Football,Raw,499,501.18,2.18,,,,225/499
02/25/2023,1,2023 Panini Donruss 90’s Retro Signatures  Henry Bolte 90’s Retro Signatures  #90S-HB Raw,Henry Bolte,2023,Panini Donruss 90’s Retro Signatures ,90’s Retro Signatures ,90S-HB,Baseball,Raw,1000,2215.14,1215.14,,,,1 of 1
01/04/2022,1,2021 Panini Prizm Draft Picks Base Autographs  Matt McLain  White Sparkle Prizm  #PDP17  Raw,Matt McLain,2021,Panini Prizm Draft Picks Base Autographs ,White Sparkle Prizm ,PDP17 ,Baseball,Raw,1000,1004.14,4.14,,,,31/50
12/25/2021,1,2021  Panini Diamond Kings Signatures Cristian Javier DK Signatures Masterpiece #DKS-CJ Raw,Cristian Javier,2021 ,Panini Diamond Kings Signatures,DK Signatures Masterpiece,DKS-CJ,Baseball,Raw,652.14,862.43,210.29,,,,
06/17/2021,1,2020 Bowman Platinum Top Prospects  Anthony Volpe Purple Refractor  #TOP-29 Raw,Anthony Volpe,2020,Bowman Platinum Top Prospects ,Purple Refractor ,TOP-29,Baseball,Raw,612.13,993.73,381.60,,,,028/250
12/27/2022,1,2022 Panini Mosaic  Thunder Lane  Josh Allen Thunder Lane Carolina Blue Silver Prizm #TL-19 Raw,Josh Allen,2022,Panini Mosaic  Thunder Lane ,Thunder Lane Carolina Blue Silver Prizm,TL-19,Football,Raw,100,1225.79,1125.79,,,,04/15
08/28/2023,1,2021-22  Donruss Optic  Devonte’ Graham Blue Velocity Prizm #120 Raw,Devonte’ Graham,2021-22 ,Donruss Optic ,Blue Velocity Prizm,120,Basketball,Raw,55.95,112.25,56.30,,,,
08/28/2022,1,2021-22  Donruss Optice  Kawhi Leonard My House Holo #7 Raw,Kawhi Leonard,2021-22 ,Donruss Optice ,My House Holo,7,Basketball,Raw,100,32.95,-67.05,,,,
12/29/2020,1,2020-21 Panini Select  Josh Green  Blue #78 Raw,Josh Green,2020-21,Panini Select ,Blue,78,Basketball,Raw,65,636.64,571.64,,,,
02/28/2022,1,2021 Topps Opening Day Ken Griffey Jr. Legends of Baseball #LOB-11 Raw,Ken Griffey Jr.,2021,Topps Opening Day,Legends of Baseball,LOB-11,Baseball,Raw,100,1302.77,1202.77,,,,
08/29/2021,1,2021  Topps X Mickey Mantle #27 Raw,Mickey Mantle,2021 ,Topps X,,27,Baseball,Raw,45,51.20,6.20,,,,
08/30/2022,1,2021 Topps Holiday Clayton Kershaw Holiday #HW82a Raw,Clayton Kershaw,2021,Topps Holiday,Holiday,HW82a,Baseball,Raw,412.47,506.30,93.83,,,,
08/30/2022,1,2021 Donruss Mariano Rivera #260 Raw,Mariano Rivera,2021,Donruss,,260,Baseball,Raw,261.75,274.02,12.27,,,,
08/30/2023,1,2021 Donruss Paul Molitor #257a Raw,Paul Molitor,2021,Donruss,,257a,Baseball,Raw,701.1,863.67,162.57,,,,
12/31/2022,1,2022 Panini Select Draft Picks  Kyle Pitts Blue #81 Raw,Kyle Pitts,2022,Panini Select Draft Picks ,Blue,81,Football,Raw,93.31,133.90,40.59,,,,
12/31/2020,1,2020 Panini Contenders Patrick Mahomes II #2 Raw,Patrick Mahomes II,2020,Panini Contenders,,2,Football,Raw,90.18,133.99,43.81,,,,
12/30/2021,1,2021 Panini Prizm Draft Picks Collegiate George Kittle Green Prizm  #50 Raw,George Kittle,2021,Panini Prizm Draft Picks Collegiate,Green Prizm ,50,Football,Raw,125,371.91,246.91,,,,
12/31/2022,1,2022 Panini Prestige :Extra Points Jalen Hurts Extra Points Sunburts #234 Raw,Jalen Hurts,2022,Panini Prestige :Extra Points,Extra Points Sunburts,234,Football,Raw,245.16,153.63,-91.53,,,,
12/26/2021,1,2021 Topps Heritage C.J. Cron #197 Raw,C.J. Cron,2021,Topps Heritage,,197,Baseball,Raw,35.68,54.18,18.50,,,,
12/30/2021,1,2021 Topps Heritage Pete Alonso #31 Raw,Pete Alonso,2021,Topps Heritage,,31,Baseball,Raw,87.95,67.04,-20.91,,,,
12/26/2021,1,2021  Topps Heritage Bryce Harper #13 Raw,Bryce Harper,2021 ,Topps Heritage,,13,Baseball,Raw,119.85,101.63,-18.22,,,,
12/23/2021,1,2021 Bowman  Paul Goldschmidt #95 Raw,Paul Goldschmidt,2021,Bowman ,,95,Baseball,Raw,214.14,322.29,108.15,,,,
01/03/2022,1,2021 Topps 1989 Bowman X Kieth Shore Mike Trout PR7015 #1 Raw,Mike Trout,2021,Topps 1989 Bowman X Kieth Shore,PR7015,1,Baseball,Raw,243.44,138.08,-105.36,,,,
12/17/2021,1,2021  Topps Living Mickey Mantle PR14028 #407 Raw,Mickey Mantle,2021 ,Topps Living,PR14028,407,Baseball,Raw,53.24,61.22,7.98,,,,
09/04/2023,2,2021  Donruss Fernando Tatis Jr. Unleashed Rapture #UNL15 Raw,Fernando Tatis Jr.,2021 ,Donruss,Unleashed Rapture,UNL15,Baseball,Raw,305.2,394.27,-216.13,,,,
08/04/2021,1,2020 Bowman Platinum Alexander Canario Top Prospects Platinum  #TOP-88 Raw,Alexander Canario,2020,Bowman Platinum,Top Prospects Platinum ,TOP-88,Baseball,Raw,96.34,146.29,49.95,,1001100,,
09/05/2023,1,2021  Donruss The Rookies Alec Bohm The Rookies Rapture #TR7 Raw,Alec Bohm,2021 ,Donruss The Rookies,The Rookies Rapture,TR7,Baseball,Raw,231.16,125.68,-105.48,,,,
09/05/2023,1,2022  Topps Heritage Jose Altuve #42 Raw,Jose Altuve,2022 ,Topps Heritage,,42,Baseball,Raw,93.89,33.80,-60.09,,,,
03/16/2016,1,1990-91 Fleer Kevin Willis #7 Raw,Kevin Willis,1990-91,Fleer,,7,Basketball,Raw,88.92,448.18,359.26,,,,
08/16/2018,1,2002 UD Glass Jason Kidd UD Promos #50 Raw,Jason Kidd,2002,UD Glass,UD Promos,50,Basketball,Raw,274.53,477.23,202.70,,,,
07/14/2018,1,2013-14 Panini Prestige Kemba Walker #9 Raw,Kemba Walker,2013-14,Panini Prestige,,9,Basketball,Raw,261.92,671.71,409.79,,,,
05/16/2015,1,2012-13 Panini Threads Jason Richardson #108 Raw,Jason Richardson,2012-13,Panini Threads,,108,Basketball,Raw,101.13,671.30,570.17,,,,
10/04/2001,1,1990-91 SkyBox Kevin Johnson #224 Raw,Kevin Johnson,1990-91,SkyBox,,224,Basketball,Raw,55.13,918.83,863.70,,,,
12/31/2005,1,2003-04 Topps 1st Edition Luke Ridnour Rookie Card #234 Raw,Luke Ridnour,2003-04,Topps 1st Edition,Rookie Card,234,Basketball,Raw,67.6,1277.67,1210.07,,,,
09/16/2023,1,2021 Topps Opening Day Santiago Espinal Rookie Card #57 Raw,Santiago Espinal,2021,Topps Opening Day,Rookie Card,57,Baseball,Raw,95,156.18,61.18,,,,
09/16/2023,1,2021 Panini Illusions Patrick Mahomes II Retail #24 Raw,Patrick Mahomes II,2021,Panini Illusions,Retail,24,Football,Raw,106.86,169.01,62.15,,,,
08/26/2023,1,1990 Pro Set Superbowl XXIII SBXXIII SuperBowl Collectibles p #23 Raw,Superbowl XXIII SBXXIII,1990,Pro Set,SuperBowl Collectibles p,23,Football,Raw,654.76,1076.41,421.65,,,,
08/08/2010,1,2009 Topps Chrome Tom Brady Refractor #TC70 Raw,Tom Brady,2009,Topps Chrome,Refractor,TC70,Football,Raw,337,20451.48,20114.48,,,,
11/04/2018,1,2017 Topps Tyler Austin Rookie Card #43 Raw,Tyler Austin,2017,Topps,Rookie Card,43,Baseball,Raw,157.79,787.75,629.96,,,,
09/12/2018,1,2017 Topps Update Domingo German Rookie Card #US2 Raw,Domingo German,2017,Topps Update,Rookie Card,US2,Baseball,Raw,116.62,611.61,494.99,,,,
08/03/2010,1,1994-95 Fleer Ultra Chris Webber #348 Raw,Chris Webber,1994-95,Fleer Ultra,,348,Basketball,Raw,170.1,2300.47,2130.37,,,,
10/11/2023,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums Michael Jordan Red Back European Collection  #SU35 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums,Red Back European Collection ,SU35,Basketball,Raw,1319,3077.98,1758.98,,,,
10/11/2023,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums  Michael Jordan Red Back European Collection  #SU24 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums ,Red Back European Collection ,SU24,Basketball,Raw,1319,3077.98,1758.98,,,,
07/19/2003,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums  Michael Jordan Red Back E.C. #SU05 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums ,Red Back E.C.,SU05,Basketball,Raw,75,1284.24,1209.24,,,,
10/11/2023,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums Michael Jordan Red Back E.C.  #SU20 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums,Red Back E.C. ,SU20,Basketball,Raw,1083.45,2527.26,1443.81,,,,
08/14/2005,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums Michael Jordan Red Back E.C. #SU08 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums,Red Back E.C.,SU08,Basketball,Raw,65,1917.80,1852.80,,,,
07/19/2008,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums Michael Jordan Red Back E.C. #SU02 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums,Red Back E.C.,SU02,Basketball,Raw,100,3995.29,3895.29,,,,
10/11/2023,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums Michael Jordan Red Back E.C. #SU03 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums,Red Back E.C.,SU03,Basketball,Raw,748.85,1747.49,998.64,,,,
10/10/2019,1,2018 Panini Donruss Josh Allen Green Press Proof #304 PSA 8,Josh Allen,2018,Panini Donruss,Green Press Proof,304,Football,PSA 8,7500,167265.63,159765.63,,63357148,1,
12/23/2021,1,2021 Prizm Draft Picks Sandy Koufax Blue & Carolina Blue Hyper #PDP201 PSA 8,Sandy Koufax,2021,Prizm Draft Picks,Blue & Carolina Blue Hyper,PDP201,Baseball,PSA 8,100,86.33,-13.67,,75756173,1,
02/13/2017,1,2016 Panini Contenders Tom Brady #58 Raw,Tom Brady,2016,Panini Contenders,,58,Football,Raw,100,1679.72,1579.72,,,,
01/01/2019,1,2017 Topps-1987 Topps Baseball David Ortiz 1987 Topps Baseball #87-76 Raw,David Ortiz,2017,Topps-1987 Topps Baseball,1987 Topps Baseball,87-76,Baseball,Raw,339,550.65,211.65,,,,
12/12/2011,1,1993 SkyBox Premium Michael Jordan Dynamic Dunks #D4 Raw,Michael Jordan,1993,SkyBox Premium,Dynamic Dunks,D4,Basketball,Raw,68,2134.47,2066.47,,,,
10/09/2023,1,2020 Donruss Justin Herbert #303 Raw,Justin Herbert,2020,Donruss,,303,Football,Raw,426.94,181.90,-245.04,,,,
05/23/2022,1,2020 Donruss Optic  Tee Higgins Rated Rookie #160 Raw,Tee Higgins,2020,Donruss Optic ,Rated Rookie,160,Football,Raw,250,183.94,-66.06,,,,
12/18/2021,1,2020 Donruss Optic Aaron Rodgers #38 Raw,Aaron Rodgers,2020,Donruss Optic,,38,Football,Raw,327,120.21,-206.79,,,,
10/11/2023,1,2019-20 Panini Mosaic Carmelo Anthony #25 Raw,Carmelo Anthony,2019-20,Panini Mosaic,,25,Basketball,Raw,275.77,326.05,50.28,,,,
10/11/2023,1,2020 Panini Chronicles Jonathan Taylor Prizm Black #PB-7 Raw,Jonathan Taylor,2020,Panini Chronicles,Prizm Black,PB-7,Football,Raw,333.43,373.36,39.93,,,,
10/11/2023,1,2021 Topps 206 Dennis Eckersley #NNO Raw,Dennis Eckersley,2021,Topps 206,,NNO,Baseball,Raw,180.39,197.16,16.77,,,,
10/11/2022,1,2022 Topps 206 Ozzie Smith #NNO Raw,Ozzie Smith,2022,Topps 206,,NNO,Baseball,Raw,103,128.26,25.26,,,,
10/29/2018,1,2017 Topps Update Andrew Benintendi 1987 Topps Baseball #US87-25 Raw,Andrew Benintendi,2017,Topps Update,1987 Topps Baseball,US87-25,Baseball,Raw,68.18,343.65,275.47,,,,
12/24/2017,1,2017 Topps Archieves Aaron Judge Rookie Card #62 Raw,Aaron Judge,2017,Topps Archieves,Rookie Card,62,Baseball,Raw,113.9,1601.58,1487.68,,,,
12/29/2018,1,2018 Donruss Mike Trout #155b Raw,Mike Trout,2018,Donruss,,155b,Baseball,Raw,46,55.68,9.68,,,,
01/11/1996,1,1995 Topps Derek Jeter Future Stars #199 Raw,Derek Jeter,1995,Topps,Future Stars,199,Baseball,Raw,12,51.66,39.66,,,,
10/11/2023,1,2021-22 Panini Mosaic Anthony Edwards #79 Raw,Anthony Edwards,2021-22,Panini Mosaic,,79,Basketball,Raw,236.65,430.02,193.37,,,,
12/23/2021,1,2020 Panini Mosaic Andre Johnson #86 Raw,Andre Johnson,2020,Panini Mosaic,,86,Football,Raw,234.73,385.97,151.24,,,,
10/12/2023,1,2017 Topps Update Roger Maris MVP Award Commemorative Medallions #MVPR-RM Raw,Roger Maris,2017,Topps Update,MVP Award Commemorative Medallions,MVPR-RM,Baseball,Raw,195.78,227.37,31.59,,,,
05/10/2023,1,2020-21 Panini Prizm James Harden Silver Prizm #112 Raw,James Harden,2020-21,Panini Prizm,Silver Prizm,112,Basketball,Raw,191.48,233.79,42.31,,,,
01/13/2019,1,2018 2018 Topps Ronald Acuña Jr. Base #698  SGC 9.5,Ronald Acuña Jr.,2018,2018 Topps,Base,698 ,Baseball,SGC 9.5,100,212.37,112.37,,1026538020,1,
10/14/2023,1,2023 Score Max Duggan Rookie Card #308 Raw,Max Duggan,2023,Score,Rookie Card,308,Football,Raw,123.54,203.10,79.56,,,,
10/12/2023,1,2022 Panini Mosaic Brandon Aiyuk #178 Raw,Brandon Aiyuk,2022,Panini Mosaic,,178,Football,Raw,653.5,1074.34,420.84,,,,
10/14/2023,1,2022 Topps Julio Rodriguez Rookie Card #659b Raw,Julio Rodriguez,2022,Topps,Rookie Card,659b,Baseball,Raw,342.82,228.58,-114.24,,,,
11/10/2022,1,2022 Topps Match Attax Champions & Europa Leauge Lionel Messi Silver  #188 Raw,Lionel Messi,2022,Topps Match Attax Champions & Europa Leauge,Silver ,188,Soccer,Raw,65,175.85,110.85,,,,
12/12/2022,1,2022 Panini Mosaic Justin Fields Silver Prizm #268 Raw,Justin Fields,2022,Panini Mosaic,Silver Prizm,268,Football,Raw,25,364.49,339.49,,,,
12/12/2022,1,2022 Panini Mosaic Joe Greene Silver Prizm #168 Raw,Joe Greene,2022,Panini Mosaic,Silver Prizm,168,Football,Raw,100,99.79,-0.21,,,,
12/19/2023,1,2023 Disney Lorcana Mickey Mouse Wayward Sorcerer - The First Chapter #51/204 Raw,Mickey Mouse,2023,Disney Lorcana,Wayward Sorcerer - The First Chapter,51/204,Disney,Raw,500,1293.33,793.33,,,,
12/19/2023,1,2023 Disney Lorcana  Mickey Mouse Brave Little Tailor Puzzle Insert (Top Right) - Th #NNO Raw,Mickey Mouse,2023,Disney Lorcana ,Brave Little Tailor Puzzle Insert (Top Right) - Th,NNO,Disney,Raw,1000,2586.67,1586.67,,,,Mickey Mouse - Brave Little Tailor Puzzle Insert (Top Right) - The First Chapter (1)
12/19/2023,1,2023 Disney Lorcana Mickey Mouse Brave Little Tailor Puzzle Insert  #NNO Raw,Mickey Mouse,2023,Disney Lorcana,Brave Little Tailor Puzzle Insert ,NNO,Disney,Raw,1000,2586.67,1586.67,,,,Mickey Mouse - Brave Little Tailor Puzzle Insert (Bottom Right) - The First Chapter (1)
12/25/1999,1,1997-98 Sky Box Metal Universe Championship Kobe Bryant Precious Metal Gems #86 Raw,Kobe Bryant,1997-98,Sky Box Metal Universe Championship,Precious Metal Gems,86,Basketball,Raw,336,5355.07,5019.07,,,,
07/19/1998,1,1998 Upper Deck Michael Jordan Stickers Stick-Ums  Michael Jordan Red Back #SU03 Raw,Michael Jordan,1998,Upper Deck Michael Jordan Stickers Stick-Ums ,Red Back,SU03,Basketball,Raw,100,2130.36,2030.36,,,,
09/30/2020,1,2020 Panini Flux  Jason Kidd Black Pulsar #192 Raw,Jason Kidd,2020,Panini Flux ,Black Pulsar,192,Basketball,Raw,100,2017.77,1917.77,,,,
12/31/2021,1,2021-22 Panini NBA Stickers & Card Collection  LeBron James European Edition Cracked Ice Sticker  #368 Raw,LeBron James,2021-22,Panini NBA Stickers & Card Collection ,European Edition Cracked Ice Sticker ,368,Basketball,Raw,1000,655.86,-344.14,,,,
12/31/2021,1,2021 Panini Prizm Austin Reeves Hyper Purple #165 Raw,Austin Reeves,2021,Panini Prizm,Hyper Purple,165,Basketball,Raw,1358.82,1351.39,-7.43,,,,
01/01/2022,1,2022 Panini Donruss Brock Purdy Gold Press Proof Rated Rookie  #374 Raw,Brock Purdy,2022,Panini Donruss,Gold Press Proof Rated Rookie ,374,Football,Raw,100,128.20,28.20,,,,
06/10/2020,1,2020 Retro Series Signatures Julius Peppers Retro Series Signatures Gold  #RS-JP Raw,Julius Peppers,2020,Retro Series Signatures,Retro Series Signatures Gold ,RS-JP,Football,Raw,15000,39991.24,24991.24,,,,#02/15
06/14/2023,1,2023 Donruss Mark McGuire Carolina Blue Holo #264 Raw,Mark McGuire,2023,Donruss,Carolina Blue Holo,264,Baseball,Raw,10,479.59,469.59,,,,Error Card 
07/18/2022,1,2022 Skybox Metal Universe Champions  Michael Jordan  2500 Degrees Red  #D-1 Raw,Michael Jordan,2022,Skybox Metal Universe Champions ,2500 Degrees Red ,D-1,Basketball,Raw,100,209.17,109.17,,,,
11/18/2022,1,2022 Panini Absolute Football Tom Brady Star Gazing #SG-9 Raw,Tom Brady,2022,Panini Absolute Football,Star Gazing,SG-9,Football,Raw,139,783.08,644.08,,,,
09/08/2019,1,2018 Topps Heritage Shohei Ohtani #600 PSA 10,Shohei Ohtani,2018,Topps Heritage,,600,Baseball,PSA 10,100,6910.53,6810.53,,66810888,7299,
07/12/1993,1,1993 Kellogg’s Star Pics David Robinson  Star Pics Raw,David Robinson,1993,Kellogg’s Star Pics,Star Pics,,Basketball,Raw,10,109959.82,109949.82,,,,
02/12/1996,1,1995 JamPac Magazine Michael Jordan/ Larry Bird Shirts vs. Skins #9-10 Raw,Michael Jordan/ Larry Bird,1995,JamPac Magazine,Shirts vs. Skins,9-10,Basketball,Raw,10,31003.54,30993.54,,,,
02/12/1996,1,1995 Jam Pac Magazine  Michael Jordan  Michael Jordan Our Turn  #1-2 Raw,Michael Jordan,1995,Jam Pac Magazine ,Michael Jordan Our Turn ,1-2,Basketball,Raw,10,36325.77,36315.77,,,,
